degrees,description,merchant,price,title
95°,"Hallo,  bei MediaMarkt über ebay erhaltet Ihr den Remington Bartschneider MB350L (Nachfolger vom MB320C) für 24,30€ wenn Ihr den Gutschein  POWERFRIDAY  benutzt. Alternativ bei  Me",eBay,"24,30€","Remington Bartschneider MB350L für 24,30€ bei MediaMarkt@ebay oder 27€ bei MediaMarkt direkt"
41°,"Hallo zusammen, im MediaMarkt Kempten (ALLGÄU) gibt es zurzeit die Sonos Playbar für 629,00€  Ich weiß -  kein Bestpreis (599,00€)  - jedoch besser als alles was bisher beim BlackF",NaN,629€,[LOKAL MEDIAMARKT KEMPTEN] SONOS PLAYBAR
424°,Bei Mediamarkt in Castrop Rauxel gefunden.  Daten WH-1000XM3  -Noise-Cancelling -Kabellos und Kabelgebunden -Overear -NFC -Maximale Betriebsdauer bis zu 38 Std. -Ladezeit bis zu 3 ,NaN,249€,Sony WH1000 XM3| Lokal Mediamarkt Castrop Rauxel
350°,Gerade im MediaMarkt im Breuningerland Ludwigsburg gefunden. Daten:  -Noise-Cancelling -Kabellos und Kabelgebunden -Overear -NFC -Maximale Betriebsdauer bis zu 38 Std. -Ladezeit bi,NaN,250€,Sony WH1000XM3 Kopfhörer/ MediaMarkt Ludwigsburg
115°,Hallo Guyz. In Berlin Alexanderplatz MediaMarkt ist die Galaxy Gear S3 Frontier 46mm erhältlich. Sie verkaufen für 155 Euro,NaN,155€,Samsung Gear S3 Frontier 46mm Space Gray Lokal Berlin Alexanderplatz MediaMarkt
315°,"Hi, bei eBay-Saturn und eBay-MediaMarkt bekommt ihr die  SanDisk Ultra A1 microSDXC 400GB  für nur  67,50€   (party)   Gibt dazu einfach den Code  POWERFRIDAY  ein.  PVG:  73,98€  ",eBay,"67,50€","SanDisk Ultra A1 microSDXC 400GB für 67,50€ [eBay-Saturn und eBay-MediaMarkt]"
NaN,"Hallo zusammen,  mein erster Deal, also bitte keine Gnade walten lassen. Glaube aktueller Bestprice für das Gerät. Anbieter ist MediaMarkt.  Update: inklusive POWERFRIDAY nochmal 5",eBay,4.283€,LG OLED 77 C8 LLA (MediaMarkt)
NaN,"Hallo liebe Gemeinde, dies ist mein erster Deal, seid deshalb gnädig falls ich etwas vergessen sollte oder etwas falsch mache. Nun zum Deal:  Der MediaMarkt Meerane am A4 Center bi",NaN,379€,[Lokal MediaMarkt Meerane] (2 Wochen vor Release!) Nintendo Switch im Super Smash Bros Ultimate Bundle
87°,"Den 65AF8 gibt es aktuell im MediaMarkt Äppelallee wiesbaden zum Hammer Preis.  High-End 4K OLED-TV mit einzigartigem Design, Top Bildqualität und spitzen Sound  Produkt-Highlights",NaN,2.319€,[LOKAL MEDIAMARKT ÄPPELALLEE Wiesbaden] SONY 65AF8
572°,"Aktuell gibt es bei ebay das Xbox One X Bundle mit Fallout 76 dank Rabattcode POWERFRIDAY für 341,10€ mit Versand. Verkäufer ist MediaMarkt.",eBay,"341,10€",Xbox One X über ebay mit POWERFRIDAY Coupon - MediaMarkt ist Verkäufer
NaN,"Über den Fernseher muss man denke ich nicht mehr viel erzählen. Jetzt bei MediaMarkt für 1999,- Euro.",Media Markt,1.999€,[MediaMarkt] LG OLED65C8LLA OLED65 C8 LLA OLED65C8
199°,"Hallo zusammen,   im MediaMarkt Kempten (ALLGÄU) gibt es zurzeit das Dimmer Kit im RedFriday Sale für 14,00€.  VGP 23,80    Im Hue Regal waren noch 3 Sets verfügbar, direkt am Eing",NaN,14€,[LOKAL MEDIAMARKT KEMPTEN] Philips Hue Dimmer-Kit E27 / BESTEHEND AUS: Philips Hue White E27 LED + Philips Hue Wireless Dimming Schalter
NaN,"Nachdem das ältere Modell der Jura e8 bei Saturn für 749,- im Angebot war, legt Mediamarkt nun nach und bietet das neue Modell 2018 in Platin für 799,- Euro an.",Media Markt,799€,[Mediamarkt] Jura e8 Platin Modell 2018
196°,"Moin, bei eBay bekommt ihr derzeit durch den Händler ""Mediamarkt"" den Neato Robotics Botvac D7 Connected für 449,10€ inkl. Versandkosten mit den Gutscheincode Powerfriday.   Preisv",eBay,"449,10€",Neato Robotics Botvac D7 Connected [eBay Mediamarkt]
307°,BlackFriday Angebot MediaMarkt Leipzig: Sony KD-70XF8305 70 Zoll UHD-TV mit 100Hz nativ und HDR10 für 1099€  PVG: ~1330€ inkl. Versand bei Otto (Geizhals)  Displayspecifications:  ,NaN,1.099€,[LOKAL] [MediaMarkt Leipzig] Sony KD-70XF8305 70 Zoll UHD-TV mit 100Hz nativ und HDR10 für 1099€
210°,Hallo habe heute im MediaMarkt Heidelberg Rohrbach den 55NU7179 für 470€ gesehen. Angebot wurde heute von 20-21 Uhr schon gestellt und wurde für Club Mitglieder Hausintern Angebote,NaN,470€,Samsung 55NU7179 RedFriday MediaMarkt Heidelberg Rohrbach (Lokal)
35°,"Nur heute, nur online am Red Friday bei Mediamarkt: Der ASUS PG278QR 27 Zoll WQHD Gaming Monitor (1 ms Reaktionszeit, G-SYNC, 144 Hz) von 699€ auf 539€ reduziert.  Bis jetzt konnte",Media Markt,539€,RED FRIDAY MediaMarkt - ASUS PG278QR 27 Zoll WQHD Gaming Monitor für 539€ Statt 699€
259°,"Bei  Amazon  und  Mediamarkt  bekommt ihr die Komplettbox Hör mal, wer da hämmert Staffel 1-8 für 29€ inklusive Versandkosten für 29€  auch bei ebay Mediamarkt für  29€   PVG:  45,",Amazon,29€,"Hör mal, wer da hämmert - Komplettbox, Staffel 1-8 (Amazon/Mediamarkt)"
285°,Mediamarkt Berlin Al,NaN,977€,OLED LG B87 55 Zoll Berlin Alexanderplatz
374°,"Moin.  bei Mediamarkt erhaltet ihr jetzt schon die Western Digital Elements  Desktop 8TB Festplatte für 149€   Preisvergleich: ~176,98€     Bauart:extern  Speicherkapazität:8 TB  A",Media Markt,149€,Western Digital Elements Desktop 8TB für 149€ [Mediamarkt]
158°,"Bei MediaMarkt (auch eBay), Saturn und Amazon  erhaltet ihr im Moment die Staffel 5 uncut und im Steelbook für schmale 16,99€  Update: Amazon ist vorerst ausverkauft, hat nicht nac",Amazon,"16,99€",The Walking Dead - Staffel 5 Steelbook [Blu-ray] Amazon / MediaMarkt / Saturn
437°,"Bei computeruniverse  müsst ihr mit PayPal zahlen und den Gutschein Black18 verwenden.  MediaMarkt über eBay zum selben Preis aber es kommen noch 4,99€ Versand dazu.  Details :   V",computeruniverse,"179,10€",PlayStation 4 Virtual Reality V2 + Camera + VR Worlds Voucher [computeruniverse / eBay MediaMarkt]
251°,"Bei  Mediamarkt  ist das Corsair CX550 PC-Netzteil Bronze im Rahmen des Red Fridays auf 42 EUR reduziert. Wenn Ihr den Kauf über  ebay  mit dem Gutschein POWERFRIDAY abwickelt, kom",eBay,"37,80€","CORSAIR Corsair CX550 PC-Netzteil 80 Plus Bronze Netzteil, Schwarz [MediaMarkt über ebay]"
66°,Gesehen im Mediamarkt Bochum Hofstede.,NaN,888€,[Lokal: Bochum]Yamaha RX-A880
427°,"Ab  23.11.2018 9:00Uhr könnt Ihr mit dem bereits bekannten Code POWERFRIDAY die RTX 2070 für 467,10€ gönnen, müsste bisher Bestpreis sein.   Zahlung muss natürlich via Paypal erfol",eBay,469€,(ebay.de) Saturn & Mediamarkt PALIT GeForce RTX2070 Dual 8 GB
